DATE,POS,NAME,TEAM,H/A,OPP,FANDUEL_PTS_LINE,FANDUEL_PTSUNDER,FANDUEL_PTSOVER
12/6/2024,F,Franz Wagner,Magic,@,76ers,35.5,-122,-108
12/6/2024,F,Jayson Tatum,Celtics,vs,Bucks,30.5,-114,-114
12/6/2024,F,Jaylen Brown,Celtics,vs,Bucks,29.5,-110,-120
12/6/2024,F,Giannis Antetokounmpo,Bucks,@,Celtics,28.5,-122,-108
12/6/2024,C,Anthony Davis,Lakers,@,Hawks,25.5,-114,-114
12/6/2024,G,Anthony Edwards,Timberwolves,@,Warriors,24.5,-118,-104
12/6/2024,G,Stephen Curry,Warriors,vs,Timberwolves,23.5,100,-122
12/6/2024,G,De'Aaron Fox,Kings,@,Spurs,24.5,102,-124
12/6/2024,F,LeBron James,Lakers,@,Hawks,23.5,-112,-118
12/6/2024,G,Damian Lillard,Bucks,@,Celtics,24.5,-106,-125
12/6/2024,F,DeMar DeRozan,Kings,@,Spurs,21.5,104,-128
12/6/2024,F,Pascal Siakam,Pacers,@,Bulls,22.5,-122,100
12/6/2024,F,Paul George,76ers,vs,Magic,22.5,-132,100
12/6/2024,F,Jalen Johnson,Hawks,vs,Lakers,21.5,-120,-110
12/6/2024,F,Zach LaVine,Bulls,vs,Pacers,22.5,-114,-106
12/6/2024,C,Domantas Sabonis,Kings,@,Spurs,20.5,-115,-105
12/6/2024,C,Nikola Vucevic,Bulls,vs,Pacers,20.5,-110,-110
12/6/2024,G,Tyrese Haliburton,Pacers,@,Bulls,19.5,-104,-118
12/6/2024,F,Lauri Markkanen,Jazz,@,Blazers,20.5,-110,-110
12/6/2024,F,Bennedict Mathurin,Pacers,@,Bulls,19.5,-108,-112
12/6/2024,G,Anfernee Simons,Blazers,vs,Jazz,19.5,100,-122
12/6/2024,F,Julius Randle,Timberwolves,@,Warriors,19.5,-112,-108
12/6/2024,G,Trae Young,Hawks,vs,Lakers,19.5,-114,-114
12/6/2024,F,John Collins,Jazz,@,Blazers,16.5,-104,-118
12/6/2024,G,Tyrese Maxey,76ers,vs,Magic,17.5,-114,-114
12/6/2024,G,Malik Monk,Kings,@,Spurs,16.5,-108,-112
12/6/2024,G,Collin Sexton,Jazz,@,Blazers,17.5,-124,102
12/6/2024,G,Shaedon Sharpe,Blazers,vs,Jazz,17.5,-118,-104
12/6/2024,C,Myles Turner,Pacers,@,Bulls,16.5,-110,-112
12/6/2024,G,Coby White,Bulls,vs,Pacers,17.5,-122,100
12/6/2024,C,Deandre Ayton,Blazers,vs,Jazz,15.5,-104,-118
12/6/2024,G,Keyonte George,Jazz,@,Blazers,15.5,-122,100
12/6/2024,F,Jerami Grant,Blazers,vs,Jazz,14.5,-108,-112
12/6/2024,G,Stephon Castle,Spurs,vs,Kings,14.5,-110,-110
12/6/2024,F,Ayo Dosunmu,Bulls,vs,Pacers,13.5,-115,-105
12/6/2024,F,Rui Hachimura,Lakers,@,Hawks,14.5,-128,-104
12/6/2024,G,Dalton Knecht,Lakers,@,Hawks,14.5,-104,-125
12/6/2024,G,Derrick White,Celtics,vs,Bucks,14.5,-114,-114
12/6/2024,F,Harrison Barnes,Spurs,vs,Kings,11.5,-110,-110
12/6/2024,F,Julian Champagnie,Spurs,vs,Kings,13.5,-130,106
12/6/2024,G,Chris Paul,Spurs,vs,Kings,11.5,-102,-120
12/6/2024,G,Josh Giddey,Bulls,vs,Pacers,11.5,100,-122
12/6/2024,F,Keegan Murray,Kings,@,Spurs,11.5,108,-132
12/6/2024,G,Kelly Oubre,76ers,vs,Magic,11.5,-132,100
12/6/2024,C,Zach Collins,Spurs,vs,Kings,11.5,-114,-106
12/6/2024,G,Dyson Daniels,Hawks,vs,Lakers,11.5,-130,-102
12/6/2024,G,Jalen Suggs,Magic,@,76ers,11.5,-114,-114
12/6/2024,C,Rudy Gobert,Timberwolves,@,Warriors,10.5,-124,102
12/6/2024,C,Walker Kessler,Jazz,@,Blazers,10.5,-122,100
12/6/2024,F,Jaden McDaniels,Timberwolves,@,Warriors,9.5,-112,-110
12/6/2024,F,Zaccharie Risacher,Hawks,vs,Lakers,10.5,-108,-122
12/6/2024,F,Toumani Camara,Blazers,vs,Jazz,9.5,-115,-105
12/6/2024,C,Clint Capela,Hawks,vs,Lakers,9.5,-108,-122
12/6/2024,G,Mike Conley,Timberwolves,@,Warriors,9.5,-115,-105
12/6/2024,G,Jrue Holiday,Celtics,vs,Bucks,8.5,-102,-130
12/6/2024,C,Andre Drummond,76ers,vs,Magic,8.5,-125,-106
12/6/2024,F,Draymond Green,Warriors,vs,Timberwolves,8.5,-124,102
12/6/2024,C,Brook Lopez,Bucks,@,Celtics,8.5,-106,-125
12/6/2024,G,Andrew Nembhard,Pacers,@,Bulls,8.5,-128,102
12/6/2024,G,Brandin Podziemski,Warriors,vs,Timberwolves,8.5,-115,-105
12/6/2024,F,Guerschon Yabusele,76ers,vs,Magic,8.5,-128,-104
12/6/2024,C,Goga Bitadze,Magic,@,76ers,6.5,102,-136
